Kenya,KEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Kiribati,KIR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",PRK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
"Korea, Rep.",KOR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Kuwait,KWT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Kyrgyz Republic,KGZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Lao PDR,LAO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27,27,27,30,28,29,29,31,31,28,28,
Late-demographic dividend,LTE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,39,39,40,43,43,43,43,43,43,43,43,
Latin America & Caribbean,LCN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21,22,23,22,17,18,18,18,18,18,18,
Latin America & Caribbean (excluding high income),LAC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21,22,23,22,17,18,18,18,18,18,18,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21,22,23,22,17,18,18,18,18,18,18,
Latvia,LVA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Least developed countries: UN classification,LDC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,48,48,49,48,48,50,50,51,49,63,64,
Lebanon,LBN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Lesotho,LSO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Liechtenstein,LIE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Liberia,LBR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Libya,LBY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Lithuania,LTU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
Low & middle income,LMY,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,45,45,46,47,47,47,47,48,48,55,55,
Low income,LIC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,43,43,43,39,39,41,42,41,40,55,57,
Lower middle income,LMC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,51,51,52,53,52,52,53,55,56,66,67,
Luxembourg,LUX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
"Macedonia, FYR",MKD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,
